label,index
printer,742
hummingbird,94
water jug,899
muzzle,676
rapeseed,984
banjo,420
pomegranate,957
pot pie,964
buckle,464
spider web,815
plate,923
Angora rabbit,332
totem pole,863
sandal,774
bald eagle,22
tree frog,31
guenon,370
Soft-coated Wheaten Terrier,202
albatross,146
pier,718
southern black widow,75
cockroach,314
gorilla,366
electric fan,545
cabbage,936
lemon,951
slot machine,800
safety pin,772
sunglass,836
tandem bicycle,444
diaper,529
tabby cat,281
alligator lizard,44
chime,494
macaque,373
mortar,666
Egyptian Mau,285
palace,698
Entlebucher Sennenhund,241
Irish Wolfhound,170
hammerhead shark,4
bow,456
jaguar,290
German Shorthaired Pointer,210
consomme,925
sea urchin,328
tripod,872
bustard,138
Pyrenean Mountain Dog,257
space heater,811
butcher shop,467
altar,406
sock,806
proboscis monkey,376
ladle,618
airliner,404
bulletproof vest,465
Mexican hairless dog,268
balance beam,416
chimpanzee,367
rocking chair,765
Yorkshire Terrier,187
sea snake,65
broom,462
great white shark,2
Groenendael,224
Greater Swiss Mountain Dog,238
dromedary,354
motorboat,814
milk can,653
pot,738
neck brace,678
strawberry,949
coral reef,973
gas mask,570
Standard Schnauzer,198
sarong,775
harvester,595
accordion,401
wolf spider,77
coffee mug,504
isopod,126
Australian Terrier,193
catamaran,484
Labrador Retriever,208
weighing scale,778
geyser,974
cassette,481
volcano,980
Miniature Schnauzer,196
lion,291
Bloodhound,163
red fox,277
Lakeland Terrier,189
guillotine,583
tram,829
tarantula,76
necklace,679
Cardigan Welsh Corgi,264
school bus,779
tiger beetle,300
reflex camera,759
menu,922
yawl,914
wild boar,342
bighorn sheep,349
conch,112
convertible,511
yurt,915
wardrobe,894
cornet,513
grey parrot,87
bassinet,431
upright piano,881
minivan,656
projector,745
parking meter,704
leaf beetle,304
brain coral,109
limpkin,135
Komondor,228
Lhasa Apso,204
Pomeranian,259
stethoscope,823
shoal,977
sea lion,150
remote control,761
ski,795
Norwegian Elkhound,174
hatchet,596
church,497
eel,390
steel drum,822
croquet ball,522
little blue heron,131
corn,987
ocean liner,628
sea cucumber,329
alp,970
dam,525
T-shirt,610
pan flute,699
marmot,336
ear,998
Indian cobra,63
zebra,340
ring-necked snake,53
daisy,985
broccoli,937
hamper,588
indigo bunting,14
infant bed,520
potter's wheel,739
pulled rickshaw,612
goldfinch,11
French Bulldog,245
banded gecko,38
tape player,848
Miniature Pinscher,237
mosquito net,669
bib,443
Arctic fox,279
custard apple,956
cauldron,469
solar thermal collector,807
beer glass,441
ptarmigan,81
King Charles Spaniel,156
lighter,626
abaya,399
chiton,116
lighthouse,437
can opener,473
Affenpinscher,252
cowboy hat,515
toucan,96
Toy Poodle,265
combination lock,507
poncho,735
bakery,415
garfish,395
tray,868
megalith,649
scabbard,777
oscilloscope,688
mitten,658
jellyfish,107
Basset Hound,161
jeep,609
water snake,58
Chow Chow,260
poke bonnet,452
Gordon Setter,214
green mamba,64
Golden Retriever,207
maze,646
promontory,976
forklift,561
white-headed capuchin,378
hockey puck,746
koala,105
